                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3977,                  3.412,                 2.0731,                0.00733,                0.75862,                0.02975,                0.01106,                 2.1414,                 3.5163,                 1.9463,                0.00022,                0.00022,                0.00022
                      2,                 2.3321,                 2.6135,                   1.81,                0.00667,                0.68966,                 0.0147,                0.00441,                 2.5368,                 3.7254,                 2.3859,             0.00044482,             0.00044482,             0.00044482
                      3,                 2.1641,                 2.4803,                 1.7439,                  0.007,                0.72414,                 0.1213,                0.04815,                 2.1822,                 3.3192,                  2.167,              0.0006538,              0.0006538,              0.0006538
                      4,                 2.1858,                 2.3828,                 1.7479,                0.58798,                0.01724,                0.14371,                   0.04,                 2.4731,                 3.2641,                  2.254,             0.00084694,             0.00084694,             0.00084694
                      5,                  2.163,                 2.3145,                 1.7307,                0.10178,                0.03448,                 0.0781,                0.02296,                 2.4497,                 3.1988,                 2.1365,              0.0010242,              0.0010242,              0.0010242
                      6,                 2.1341,                 2.2001,                  1.776,                0.13724,                0.13793,                0.08111,                0.02102,                 2.5807,                 3.1495,                 2.2181,              0.0011857,              0.0011857,              0.0011857
                      7,                 2.1625,                 2.2639,                 1.7846,                0.18531,                0.15517,                0.10008,                0.02794,                 2.5828,                 3.5504,                  2.271,              0.0013313,              0.0013313,              0.0013313
                      8,                 2.0841,                 2.2011,                 1.7375,                0.23302,                0.17241,                0.09808,                0.03131,                 2.5867,                 3.4624,                 2.1906,              0.0014611,              0.0014611,              0.0014611
                      9,                 2.1045,                 2.1643,                 1.7206,                0.23189,                0.12069,                0.07597,                0.02238,                   2.65,                 3.1655,                 2.3256,               0.001472,               0.001472,               0.001472
                     10,                 2.0287,                 2.1156,                 1.7038,                 0.2393,                0.15517,                0.10989,                 0.0438,                 2.5092,                 5.4372,                 2.4662,               0.001472,               0.001472,               0.001472
                     11,                  2.038,                 2.0794,                 1.7464,                0.13123,                0.24138,                0.10756,                 0.0515,                 2.4076,                 6.1722,                 2.3018,               0.001406,               0.001406,               0.001406
                     12,                 2.0285,                 2.0141,                 1.7148,                0.23644,                 0.2069,                0.14336,                0.05984,                 2.4876,                 3.8539,                 2.2453,                0.00134,                0.00134,                0.00134
                     13,                 1.9936,                 1.9993,                 1.6731,                0.25626,                0.31034,                0.14722,                0.05408,                 2.4554,                 3.3523,                 2.1958,               0.001274,               0.001274,               0.001274
                     14,                 2.0103,                  1.947,                 1.6511,                0.24566,                0.25862,                0.15487,                0.05385,                 2.4941,                 3.8816,                 2.2027,               0.001208,               0.001208,               0.001208
                     15,                  1.993,                 1.9489,                 1.6277,                0.27716,                0.13793,                 0.0903,                0.02669,                 2.7191,                 4.4777,                 2.6179,               0.001142,               0.001142,               0.001142
                     16,                 1.9421,                 1.8766,                 1.6207,                0.33331,                 0.2069,                0.13245,                0.04781,                 2.4931,                 3.6801,                 2.3039,               0.001076,               0.001076,               0.001076
                     17,                 1.9563,                  1.868,                 1.6377,                 0.3253,                0.23286,                0.14027,                0.05223,                 2.3839,                 3.1573,                 2.1153,                0.00101,                0.00101,                0.00101
                     18,                 1.8892,                 1.8364,                 1.5862,                 0.2103,                0.32759,                0.15785,                0.05713,                 2.2435,                 2.9261,                 1.9183,               0.000944,               0.000944,               0.000944
                     19,                 1.9062,                 1.8294,                 1.5758,                0.25425,                0.17241,                0.10888,                0.03761,                 2.3857,                 3.0805,                 2.0137,               0.000878,               0.000878,               0.000878
                     20,                 1.8758,                 1.7554,                 1.5486,                0.14376,                0.25862,                0.08404,                0.02349,                 2.4795,                 3.2057,                 1.9762,               0.000812,               0.000812,               0.000812
